entity,iso_code,year,population
Guinea-Bissau,GNB,2021,2015490
Guyana,GUY,2021,790329
Haiti,HTI,2021,11541683
High income,OWID_HIC,2021,1219580957
Honduras,HND,2021,10062994
Hong Kong,HKG,2021,7552800
Hungary,HUN,2021,9634162
Iceland,ISL,2021,343360
India,IND,2021,1393409033
Indonesia,IDN,2021,276361788
Iran,IRN,2021,85028760
Iraq,IRQ,2021,41179351
Ireland,IRL,2021,4982904
Isle of Man,IMN,2021,85410
Israel,ISR,2021,8789776
Italy,ITA,2021,60367471
Jamaica,JAM,2021,2973462
Japan,JPN,2021,126050796
Jersey,JEY,2021,101073
Jordan,JOR,2021,10269022
Kazakhstan,KAZ,2021,18994958
Kenya,KEN,2021,54985702
Kiribati,KIR,2021,121388
Kosovo,OWID_KOS,2021,1775378
Kuwait,KWT,2021,4328553
Kyrgyzstan,KGZ,2021,6628347
Laos,LAO,2021,7379358
Latvia,LVA,2021,1866934
Lebanon,LBN,2021,6769151
Lesotho,LSO,2021,2159067
Liberia,LBR,2021,5180208
Libya,LBY,2021,6958538
Liechtenstein,LIE,2021,38254
Lithuania,LTU,2021,2689862
Low income,OWID_LIC,2021,683006316
Lower middle income,OWID_LMC,2021,3374001443
Luxembourg,LUX,2021,634814
Macao,MAC,2021,658391
Madagascar,MDG,2021,28427333
Malawi,MWI,2021,19647681
Malaysia,MYS,2021,32776195
Maldives,MDV,2021,543620
Mali,MLI,2021,20855724
Malta,MLT,2021,514564
Marshall Islands,MHL,2021,59618
Mauritania,MRT,2021,4775110
Mauritius,MUS,2021,1273428
Melanesia,OWID_MNS,2021,11122990
Mexico,MEX,2021,130262220
Micronesia,"",2021,548927
Micronesia (country),FSM,2021,116255
Moldova,MDA,2021,4024025
Monaco,MCO,2021,39520
Mongolia,MNG,2021,3329282
Montenegro,MNE,2021,628051
Montserrat,MSR,2021,4981
Morocco,MAR,2021,37344787
Mozambique,MOZ,2021,32163045
Myanmar,MMR,2021,54806014
Namibia,NAM,2021,2587344
Nauru,NRU,2021,10873
Nepal,NPL,2021,29674920
Netherlands,NLD,2021,17173094
New Caledonia,NCL,2021,288217
New Zealand,NZL,2021,4860642
Nicaragua,NIC,2021,6702379
Niger,NER,2021,25130810
Nigeria,NGA,2021,211400704
Niue,NIU,2021,1614
North America,OWID_NAM,2021,596581283
North Korea,PRK,2021,25887045
North Macedonia,MKD,2021,2082661
Northern Mariana Islands,MNP,2021,57910
Norway,NOR,2021,5465629
Oceania,OWID_OCE,2021,43219954
Oman,OMN,2021,5223376
Pakistan,PAK,2021,225199929
Palau,PLW,2021,18174
Palestine,PSE,2021,5222756
Panama,PAN,2021,4381583
Papua New Guinea,PNG,2021,9119005
Paraguay,PRY,2021,7219641
Peru,PER,2021,33359415
Philippines,PHL,2021,111046910
Pitcairn,PCN,2021,47
Poland,POL,2021,37797000
Polynesia,OWID_PYA,2021,683778
Portugal,PRT,2021,10167923
Puerto Rico,PRI,2021,2828246
Qatar,QAT,2021,2930524
Romania,ROU,2021,19127772
Russia,RUS,2021,145912022
Rwanda,RWA,2021,13276517
Saint Helena,SHN,2021,6095
Saint Kitts and Nevis,KNA,2021,53546
Saint Lucia,LCA,2021,184401
Saint Pierre and Miquelon,SPM,2021,5771
Saint Vincent and the Grenadines,VCT,2021,111269
Samoa,WSM,2021,200144
San Marino,SMR,2021,34010
Sao Tome and Principe,STP,2021,223364
Saudi Arabia,SAU,2021,35340680
Senegal,SEN,2021,17196308
Serbia,SRB,2021,6908224
Seychelles,SYC,2021,98910
Sierra Leone,SLE,2021,8141343
Singapore,SGP,2021,5896684
Sint Maarten (Dutch part),SXM,2021,43421
Slovakia,SVK,2021,5460726
Slovenia,SVN,2021,2078723
Solomon Islands,SLB,2021,703995
Somalia,SOM,2021,16359500
South Africa,ZAF,2021,60041996
South America,OWID_SAM,2021,434260137
South Korea,KOR,2021,51305184
South Sudan,SSD,2021,11381377
Spain,ESP,2021,46745211
Sri Lanka,LKA,2021,21497306
Sudan,SDN,2021,44909351
Suriname,SUR,2021,591798
Sweden,SWE,2021,10160159
Switzerland,CHE,2021,8715494
Syria,SYR,2021,18275704
Taiwan,TWN,2021,23855008
Tajikistan,TJK,2021,9749625
Tanzania,TZA,2021,61498438
Thailand,THA,2021,69950844
Timor,TLS,2021,1343875
Togo,TGO,2021,8478242
Tokelau,TKL,2021,1368
Tonga,TON,2021,106759
Trinidad and Tobago,TTO,2021,1403374
Tunisia,TUN,2021,11935764
Turkey,TUR,2021,85042736
Turkmenistan,TKM,2021,6117933
Turks and Caicos Islands,TCA,2021,39226
Tuvalu,TUV,2021,11925
Uganda,UGA,2021,47123533
Ukraine,UKR,2021,43466822
United Arab Emirates,ARE,2021,9991083
United Kingdom,GBR,2021,68207114
United States,USA,2021,332915074
United States Virgin Islands,VIR,2021,104218
Upper middle income,OWID_UMC,2021,2597320507
Uruguay,URY,2021,3485152
Uzbekistan,UZB,2021,33935765
Vanuatu,VUT,2021,314464
Vatican,VAT,2021,812
Venezuela,VEN,2021,28704947
Vietnam,VNM,2021,98168829
Wallis and Futuna,WLF,2021,11094
Western Sahara,ESH,2021,611872
World,OWID_WRL,2021,7874965730
Yemen,YEM,2021,30490639
Zambia,ZMB,2021,18920657
Zimbabwe,ZWE,2021,15092171
World excl. China,OWID_WEC,2021,6430749628
