location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Finland,2021-08-27,60-69,90.88,83.8
Finland,2021-08-27,70-79,99.39,95.53
Finland,2021-08-27,80+,94.95,90.94
Finland,2021-09-03,18-24,71.44,22.18
Finland,2021-09-03,25-49,78.49,50.08
Finland,2021-09-03,50-59,87.37,78.26
Finland,2021-09-03,60-69,91.04,84.85
Finland,2021-09-03,70-79,99.46,95.8
Finland,2021-09-03,80+,95.02,91.06
Finland,2021-09-10,18-24,72.4,28.9
Finland,2021-09-10,25-49,79.07,57.17
Finland,2021-09-10,50-59,87.6,79.66
Finland,2021-09-10,60-69,91.2,85.55
Finland,2021-09-10,70-79,99.55,96.02
Finland,2021-09-10,80+,95.07,91.17
Finland,2021-09-17,18-24,73.3,35.69
Finland,2021-09-17,25-49,79.6,61.49
Finland,2021-09-17,50-59,87.81,80.47
Finland,2021-09-17,60-69,91.36,86.01
Finland,2021-09-17,70-79,99.64,96.2
Finland,2021-09-17,80+,95.13,91.26
Finland,2021-09-24,18-24,74.08,43.56
Finland,2021-09-24,25-49,80.14,65.07
Finland,2021-09-24,50-59,88.04,81.3
Finland,2021-09-24,60-69,91.52,86.51
Finland,2021-09-24,70-79,99.73,96.41
Finland,2021-09-24,80+,95.21,91.42
Finland,2021-10-01,18-24,74.77,50.71
Finland,2021-10-01,25-49,80.6,67.66
Finland,2021-10-01,50-59,88.22,82.06
Finland,2021-10-01,60-69,91.64,87.0
Finland,2021-10-01,70-79,99.8,96.63
Finland,2021-10-01,80+,95.3,91.65
Finland,2021-10-08,18-24,75.43,55.76
Finland,2021-10-08,25-49,81.05,69.74
Finland,2021-10-08,50-59,88.42,82.72
Finland,2021-10-08,60-69,91.77,87.43
Finland,2021-10-08,70-79,99.88,96.82
Finland,2021-10-08,80+,95.37,91.82
Finland,2021-10-15,18-24,76.3,59.77
Finland,2021-10-15,25-49,81.65,71.58
Finland,2021-10-15,50-59,88.67,83.37
Finland,2021-10-15,60-69,91.97,87.88
Finland,2021-10-15,70-79,99.98,97.03
Finland,2021-10-15,80+,95.45,92.01
Finland,2021-10-22,18-24,76.68,61.19
Finland,2021-10-22,25-49,81.88,72.24
Finland,2021-10-22,50-59,88.76,83.6
Finland,2021-10-22,60-69,92.02,88.05
Finland,2021-10-22,70-79,100.02,97.11
Finland,2021-10-22,80+,95.48,92.07
France,2021-01-08,18-24,0.01,0.0
France,2021-01-08,25-49,0.07,0.0
France,2021-01-08,50-59,0.45,0.0
France,2021-01-08,60-69,0.28,0.0
France,2021-01-08,70-79,0.17,0.0
France,2021-01-08,80+,0.41,0.0
France,2021-01-15,18-24,0.06,0.0
France,2021-01-15,25-49,0.37,0.0
France,2021-01-15,50-59,1.75,0.0
France,2021-01-15,60-69,1.04,0.0
France,2021-01-15,70-79,0.86,0.0
France,2021-01-15,80+,2.09,0.0
France,2021-01-22,18-24,0.13,0.0
France,2021-01-22,25-49,0.67,0.0
France,2021-01-22,50-59,2.73,0.0
France,2021-01-22,60-69,1.75,0.0
France,2021-01-22,70-79,4.09,0.0
France,2021-01-22,80+,8.95,0.01
France,2021-01-29,18-24,0.17,0.0
France,2021-01-29,25-49,0.86,0.03
France,2021-01-29,50-59,3.24,0.2
France,2021-01-29,60-69,2.24,0.12
France,2021-01-29,70-79,6.97,0.08
France,2021-01-29,80+,14.89,0.24
France,2021-02-05,18-24,0.2,0.03
France,2021-02-05,25-49,0.98,0.18
France,2021-02-05,50-59,3.53,0.99
France,2021-02-05,60-69,2.56,0.58
France,2021-02-05,70-79,9.13,0.43
France,2021-02-05,80+,19.03,1.3
France,2021-02-12,18-24,0.31,0.08
France,2021-02-12,25-49,1.28,0.45
France,2021-02-12,50-59,3.87,1.95
France,2021-02-12,60-69,2.92,1.18
France,2021-02-12,70-79,11.03,1.6
France,2021-02-12,80+,22.39,4.63
France,2021-02-19,18-24,0.47,0.12
France,2021-02-19,25-49,1.6,0.67
France,2021-02-19,50-59,4.2,2.66
France,2021-02-19,60-69,3.24,1.74
France,2021-02-19,70-79,12.26,4.27
France,2021-02-19,80+,24.59,9.85
France,2021-02-26,18-24,0.65,0.15
France,2021-02-26,25-49,1.94,0.81
France,2021-02-26,50-59,5.15,3.06
France,2021-02-26,60-69,4.21,2.12
France,2021-02-26,70-79,13.7,6.77
France,2021-02-26,80+,26.96,14.41
France,2021-03-05,18-24,0.9,0.18
France,2021-03-05,25-49,2.43,0.92
France,2021-03-05,50-59,7.1,3.34
France,2021-03-05,60-69,6.86,2.43
France,2021-03-05,70-79,18.15,8.82
France,2021-03-05,80+,32.21,17.99
France,2021-03-12,18-24,1.2,0.21
France,2021-03-12,25-49,3.07,1.03
France,2021-03-12,50-59,9.18,3.56
France,2021-03-12,60-69,10.58,2.73
France,2021-03-12,70-79,24.94,10.63
France,2021-03-12,80+,38.67,21.12
France,2021-03-19,18-24,1.36,0.23
France,2021-03-19,25-49,3.47,1.12
France,2021-03-19,50-59,10.25,3.73
France,2021-03-19,60-69,12.95,2.97
France,2021-03-19,70-79,31.52,11.81
France,2021-03-19,80+,46.09,23.2
France,2021-03-26,18-24,1.64,0.26
France,2021-03-26,25-49,4.1,1.2
France,2021-03-26,50-59,12.37,3.89
France,2021-03-26,60-69,18.14,3.23
France,2021-03-26,70-79,41.46,13.21
France,2021-03-26,80+,53.61,25.49
France,2021-04-02,18-24,2.07,0.29
France,2021-04-02,25-49,4.99,1.3
France,2021-04-02,50-59,14.54,4.13
France,2021-04-02,60-69,22.75,3.74
France,2021-04-02,70-79,50.92,16.31
France,2021-04-02,80+,58.89,30.18
France,2021-04-09,18-24,2.56,0.33
France,2021-04-09,25-49,5.94,1.46
France,2021-04-09,50-59,17.06,4.51
France,2021-04-09,60-69,27.82,4.57
France,2021-04-09,70-79,60.01,20.28
France,2021-04-09,80+,63.13,35.68
France,2021-04-16,18-24,3.06,0.44
France,2021-04-16,25-49,6.94,1.75
France,2021-04-16,50-59,20.63,5.13
France,2021-04-16,60-69,35.39,5.93
France,2021-04-16,70-79,67.67,25.68
France,2021-04-16,80+,66.9,42.52
France,2021-04-23,18-24,3.47,0.68
France,2021-04-23,25-49,7.85,2.3
France,2021-04-23,50-59,24.2,6.15
France,2021-04-23,60-69,43.56,7.83
France,2021-04-23,70-79,72.34,32.08
France,2021-04-23,80+,69.37,48.92
France,2021-04-30,18-24,4.05,1.0
France,2021-04-30,25-49,9.23,3.0
France,2021-04-30,50-59,28.77,7.44
France,2021-04-30,60-69,52.49,10.01
France,2021-04-30,70-79,76.67,38.72
France,2021-04-30,80+,71.74,53.0
France,2021-05-07,18-24,5.24,1.47
France,2021-05-07,25-49,12.3,3.99
France,2021-05-07,50-59,34.48,9.46
France,2021-05-07,60-69,59.37,13.19
France,2021-05-07,70-79,79.91,46.17
France,2021-05-07,80+,73.61,56.43
France,2021-05-14,18-24,8.36,1.81
France,2021-05-14,25-49,17.23,4.72
France,2021-05-14,50-59,42.91,11.32
France,2021-05-14,60-69,64.09,17.12
France,2021-05-14,70-79,82.19,51.64
France,2021-05-14,80+,74.96,58.83
France,2021-05-21,18-24,13.42,2.14
France,2021-05-21,25-49,23.62,5.38
France,2021-05-21,50-59,50.92,13.21
France,2021-05-21,60-69,68.05,20.82
France,2021-05-21,70-79,84.16,55.07
France,2021-05-21,80+,76.18,60.36
France,2021-05-28,18-24,18.83,2.51
France,2021-05-28,25-49,29.57,6.15
France,2021-05-28,50-59,56.41,15.6
France,2021-05-28,60-69,70.71,25.68
France,2021-05-28,70-79,85.52,59.0
France,2021-05-28,80+,77.09,61.99
France,2021-06-04,18-24,26.08,3.02
France,2021-06-04,25-49,36.45,7.25
France,2021-06-04,50-59,60.91,18.81
France,2021-06-04,60-69,73.07,33.27
France,2021-06-04,70-79,86.84,63.64
France,2021-06-04,80+,78.04,63.89
France,2021-06-11,18-24,33.2,3.8
France,2021-06-11,25-49,42.68,8.96
France,2021-06-11,50-59,64.46,22.89
France,2021-06-11,60-69,75.0,41.59
France,2021-06-11,70-79,87.97,68.13
France,2021-06-11,80+,78.86,65.91
France,2021-06-18,18-24,38.11,5.35
France,2021-06-18,25-49,46.78,12.35
France,2021-06-18,50-59,66.83,28.87
France,2021-06-18,60-69,76.38,49.47
France,2021-06-18,70-79,88.82,72.72
France,2021-06-18,80+,79.48,67.93
France,2021-06-25,18-24,41.91,9.01
France,2021-06-25,25-49,49.57,17.65
France,2021-06-25,50-59,68.54,37.23
France,2021-06-25,60-69,77.41,55.42
France,2021-06-25,70-79,89.48,76.03
France,2021-06-25,80+,79.97,69.54
France,2021-07-02,18-24,45.22,14.43
France,2021-07-02,25-49,51.97,24.01
France,2021-07-02,50-59,70.1,45.1
France,2021-07-02,60-69,78.39,60.49
France,2021-07-02,70-79,90.09,78.65
France,2021-07-02,80+,80.43,70.93
France,2021-07-09,18-24,48.52,20.48
France,2021-07-09,25-49,54.55,30.32
France,2021-07-09,50-59,71.85,51.3
France,2021-07-09,60-69,79.47,64.48
France,2021-07-09,70-79,90.76,80.62
France,2021-07-09,80+,80.91,72.08
France,2021-07-16,18-24,53.71,27.88
France,2021-07-16,25-49,58.43,36.87
France,2021-07-16,50-59,74.16,55.78
France,2021-07-16,60-69,80.77,67.07
France,2021-07-16,70-79,91.5,81.96
France,2021-07-16,80+,81.42,72.94
France,2021-07-23,18-24,60.96,34.77
France,2021-07-23,25-49,63.79,42.72
France,2021-07-23,50-59,77.3,59.6
France,2021-07-23,60-69,82.49,69.33
France,2021-07-23,70-79,92.46,83.22
France,2021-07-23,80+,82.08,73.83
France,2021-07-30,18-24,68.86,39.52
France,2021-07-30,25-49,69.68,46.53
France,2021-07-30,50-59,80.8,62.16
France,2021-07-30,60-69,84.37,70.91
France,2021-07-30,70-79,93.55,84.16
France,2021-07-30,80+,82.87,74.55
France,2021-08-06,18-24,74.71,43.63
France,2021-08-06,25-49,74.23,49.71
France,2021-08-06,50-59,83.66,64.07
France,2021-08-06,60-69,85.96,72.01
France,2021-08-06,70-79,94.53,84.83
France,2021-08-06,80+,83.61,75.08
France,2021-08-13,18-24,78.76,48.68
France,2021-08-13,25-49,77.56,53.41
France,2021-08-13,50-59,85.76,66.07
France,2021-08-13,60-69,87.18,73.11
France,2021-08-13,70-79,95.33,85.52
France,2021-08-13,80+,84.25,75.64
France,2021-08-20,18-24,81.5,54.92
France,2021-08-20,25-49,79.87,58.03
France,2021-08-20,50-59,87.22,68.59
France,2021-08-20,60-69,88.03,74.38
France,2021-08-20,70-79,95.9,86.28
France,2021-08-20,80+,84.79,76.23
France,2021-08-27,18-24,83.52,61.05
France,2021-08-27,25-49,81.54,62.72
France,2021-08-27,50-59,88.26,71.29
France,2021-08-27,60-69,88.66,75.71
France,2021-08-27,70-79,96.34,87.11
France,2021-08-27,80+,85.23,76.88
France,2021-09-03,18-24,85.19,65.62
France,2021-09-03,25-49,82.88,66.47
France,2021-09-03,50-59,89.06,73.54
France,2021-09-03,60-69,89.15,76.9
France,2021-09-03,70-79,96.69,87.9
France,2021-09-03,80+,85.59,77.54
France,2021-09-10,18-24,86.36,68.44
France,2021-09-10,25-49,83.81,68.92
France,2021-09-10,50-59,89.6,75.06
France,2021-09-10,60-69,89.5,77.79
France,2021-09-10,70-79,96.96,88.51
France,2021-09-10,80+,85.87,78.11
France,2021-09-17,18-24,87.26,70.35
France,2021-09-17,25-49,84.54,70.59
France,2021-09-17,50-59,90.02,76.17
France,2021-09-17,60-69,89.76,78.51
France,2021-09-17,70-79,97.16,89.04
France,2021-09-17,80+,86.13,78.68
France,2021-09-24,18-24,87.84,71.81
France,2021-09-24,25-49,84.98,71.82
France,2021-09-24,50-59,90.28,77.01
France,2021-09-24,60-69,89.94,79.13
France,2021-09-24,70-79,97.3,89.52
France,2021-09-24,80+,86.35,79.25
France,2021-10-01,18-24,88.36,72.88
France,2021-10-01,25-49,85.39,72.72
France,2021-10-01,50-59,90.51,77.66
France,2021-10-01,60-69,90.1,79.64
France,2021-10-01,70-79,97.43,89.93
France,2021-10-01,80+,86.51,79.73
France,2021-10-08,18-24,88.86,73.73
France,2021-10-08,25-49,85.78,73.44
France,2021-10-08,50-59,90.72,78.19
France,2021-10-08,60-69,90.26,80.09
France,2021-10-08,70-79,97.55,90.31
France,2021-10-08,80+,86.64,80.18
France,2021-10-15,18-24,89.39,74.38
France,2021-10-15,25-49,86.18,73.99
France,2021-10-15,50-59,90.94,78.62
France,2021-10-15,60-69,90.41,80.52
France,2021-10-15,70-79,97.67,90.69
France,2021-10-15,80+,86.76,80.58
France,2021-10-22,18-24,89.54,74.54
France,2021-10-22,25-49,86.29,74.12
France,2021-10-22,50-59,91.0,78.73
France,2021-10-22,60-69,90.46,80.63
France,2021-10-22,70-79,97.7,90.79
France,2021-10-22,80+,86.79,80.68
Hungary,2021-01-01,18-24,0.0,0.0
Hungary,2021-01-01,25-49,0.02,0.0
Hungary,2021-01-01,50-59,0.02,0.0
Hungary,2021-01-01,60-69,0.01,0.0
Hungary,2021-01-01,70-79,0.0,0.0
Hungary,2021-01-01,80+,0.0,0.0
Hungary,2021-01-08,18-24,0.33,0.0
Hungary,2021-01-08,25-49,0.92,0.0
Hungary,2021-01-08,50-59,1.51,0.0
Hungary,2021-01-08,60-69,0.85,0.0
Hungary,2021-01-08,70-79,0.54,0.0
Hungary,2021-01-08,80+,0.64,0.0
Hungary,2021-01-15,18-24,0.79,0.0
Hungary,2021-01-15,25-49,1.55,0.01
Hungary,2021-01-15,50-59,2.5,0.01
Hungary,2021-01-15,60-69,1.45,0.01
Hungary,2021-01-15,70-79,0.96,0.0
Hungary,2021-01-15,80+,1.12,0.0
Hungary,2021-01-22,18-24,1.12,0.03
Hungary,2021-01-22,25-49,1.85,0.18
Hungary,2021-01-22,50-59,2.88,0.24
Hungary,2021-01-22,60-69,1.68,0.12
Hungary,2021-01-22,70-79,1.1,0.06
Hungary,2021-01-22,80+,1.18,0.02
Hungary,2021-01-29,18-24,1.6,0.3
Hungary,2021-01-29,25-49,2.62,0.88
Hungary,2021-01-29,50-59,4.27,1.46
Hungary,2021-01-29,60-69,2.74,0.82
Hungary,2021-01-29,70-79,2.32,0.53
Hungary,2021-01-29,80+,5.13,0.62
Hungary,2021-02-05,18-24,1.76,0.72
Hungary,2021-02-05,25-49,2.77,1.5
Hungary,2021-02-05,50-59,4.46,2.42
Hungary,2021-02-05,60-69,2.85,1.4
Hungary,2021-02-05,70-79,2.42,0.88
Hungary,2021-02-05,80+,13.07,0.8
Hungary,2021-02-12,18-24,1.82,1.05
Hungary,2021-02-12,25-49,2.95,1.8
Hungary,2021-02-12,50-59,5.77,2.83
Hungary,2021-02-12,60-69,2.99,1.66
Hungary,2021-02-12,70-79,3.3,1.08
Hungary,2021-02-12,80+,19.05,1.12
Hungary,2021-02-19,18-24,2.1,1.5
Hungary,2021-02-19,25-49,3.31,2.54
Hungary,2021-02-19,50-59,7.48,4.16
Hungary,2021-02-19,60-69,4.11,2.67
Hungary,2021-02-19,70-79,5.59,2.24
Hungary,2021-02-19,80+,24.99,4.85
Hungary,2021-02-26,18-24,2.22,1.65
Hungary,2021-02-26,25-49,3.9,2.68
Hungary,2021-02-26,50-59,9.96,4.33
Hungary,2021-02-26,60-69,9.55,2.78
Hungary,2021-02-26,70-79,16.7,2.33
Hungary,2021-02-26,80+,34.6,10.24
Hungary,2021-03-05,18-24,2.35,1.67
Hungary,2021-03-05,25-49,4.24,2.72
Hungary,2021-03-05,50-59,11.54,4.41
Hungary,2021-03-05,60-69,17.49,2.91
Hungary,2021-03-05,70-79,33.6,3.18
Hungary,2021-03-05,80+,44.2,18.34
Hungary,2021-03-12,18-24,2.92,1.91
Hungary,2021-03-12,25-49,5.83,3.0
Hungary,2021-03-12,50-59,15.65,5.82
Hungary,2021-03-12,60-69,25.02,3.97
Hungary,2021-03-12,70-79,45.54,5.36
Hungary,2021-03-12,80+,51.26,24.04
Hungary,2021-03-19,18-24,3.43,1.97
Hungary,2021-03-19,25-49,6.71,3.26
Hungary,2021-03-19,50-59,17.01,7.3
Hungary,2021-03-19,60-69,32.06,4.56
Hungary,2021-03-19,70-79,55.34,7.7
Hungary,2021-03-19,80+,56.5,29.31
Hungary,2021-03-26,18-24,3.9,2.06
Hungary,2021-03-26,25-49,7.81,3.73
Hungary,2021-03-26,50-59,19.29,9.51
Hungary,2021-03-26,60-69,43.96,9.46
Hungary,2021-03-26,70-79,65.66,16.59
Hungary,2021-03-26,80+,60.43,33.81
Hungary,2021-04-02,18-24,4.98,2.11
Hungary,2021-04-02,25-49,11.7,3.99
Hungary,2021-04-02,50-59,28.51,10.14
Hungary,2021-04-02,60-69,53.42,15.75
Hungary,2021-04-02,70-79,71.69,28.17
Hungary,2021-04-02,80+,63.61,38.75
Hungary,2021-04-09,18-24,8.0,2.49
Hungary,2021-04-09,25-49,19.73,4.64
Hungary,2021-04-09,50-59,40.09,11.26
Hungary,2021-04-09,60-69,58.6,24.29
Hungary,2021-04-09,70-79,74.0,41.48
Hungary,2021-04-09,80+,65.09,46.17
Hungary,2021-04-16,18-24,10.77,2.81
Hungary,2021-04-16,25-49,25.28,5.64
Hungary,2021-04-16,50-59,45.4,12.6
Hungary,2021-04-16,60-69,62.56,29.5
Hungary,2021-04-16,70-79,76.55,45.78
Hungary,2021-04-16,80+,67.12,48.71
Hungary,2021-04-23,18-24,13.2,3.35
Hungary,2021-04-23,25-49,30.19,7.22
Hungary,2021-04-23,50-59,50.58,17.43
Hungary,2021-04-23,60-69,66.36,34.9
Hungary,2021-04-23,70-79,79.08,52.91
Hungary,2021-04-23,80+,69.2,53.07
Hungary,2021-04-30,18-24,22.6,4.83
Hungary,2021-04-30,25-49,38.5,11.19
Hungary,2021-04-30,50-59,55.15,24.23
Hungary,2021-04-30,60-69,68.63,42.5
Hungary,2021-04-30,70-79,80.37,60.33
Hungary,2021-04-30,80+,70.38,56.39
Hungary,2021-05-07,18-24,26.7,6.98
Hungary,2021-05-07,25-49,42.41,16.48
Hungary,2021-05-07,50-59,57.58,30.55
Hungary,2021-05-07,60-69,69.75,49.13
Hungary,2021-05-07,70-79,81.07,65.21
Hungary,2021-05-07,80+,71.01,58.99
Hungary,2021-05-14,18-24,31.23,8.39
Hungary,2021-05-14,25-49,46.62,19.56
Hungary,2021-05-14,50-59,60.45,34.28
Hungary,2021-05-14,60-69,71.4,51.8
Hungary,2021-05-14,70-79,82.11,67.09
Hungary,2021-05-14,80+,71.89,60.19
Hungary,2021-05-21,18-24,38.48,10.57
Hungary,2021-05-21,25-49,52.48,23.1
Hungary,2021-05-21,50-59,64.28,38.5
Hungary,2021-05-21,60-69,73.63,55.88
Hungary,2021-05-21,70-79,83.51,70.14
Hungary,2021-05-21,80+,72.91,62.63
Hungary,2021-05-28,18-24,40.68,18.68
Hungary,2021-05-28,25-49,54.28,32.43
Hungary,2021-05-28,50-59,65.64,46.5
Hungary,2021-05-28,60-69,74.44,60.8
Hungary,2021-05-28,70-79,84.01,73.37
Hungary,2021-05-28,80+,73.34,65.27
Hungary,2021-06-04,18-24,42.78,24.4
Hungary,2021-06-04,25-49,55.96,37.77
Hungary,2021-06-04,50-59,66.93,51.85
Hungary,2021-06-04,60-69,75.22,64.05
Hungary,2021-06-04,70-79,84.51,76.49
Hungary,2021-06-04,80+,73.73,67.54
Hungary,2021-06-11,18-24,44.26,27.07
Hungary,2021-06-11,25-49,57.12,40.68
Hungary,2021-06-11,50-59,67.85,54.56
Hungary,2021-06-11,60-69,75.78,66.37
Hungary,2021-06-11,70-79,84.89,78.4
Hungary,2021-06-11,80+,74.03,68.94
Hungary,2021-06-18,18-24,45.27,30.08
Hungary,2021-06-18,25-49,57.87,43.69
Hungary,2021-06-18,50-59,68.43,57.17
Hungary,2021-06-18,60-69,76.09,68.88
Hungary,2021-06-18,70-79,85.09,80.18
Hungary,2021-06-18,80+,74.21,70.01
Hungary,2021-06-25,18-24,46.02,36.14
Hungary,2021-06-25,25-49,58.4,48.95
Hungary,2021-06-25,50-59,68.82,60.93
Hungary,2021-06-25,60-69,76.32,71.33
Hungary,2021-06-25,70-79,85.25,81.65
Hungary,2021-06-25,80+,74.33,71.01
Hungary,2021-07-02,18-24,46.49,38.39
Hungary,2021-07-02,25-49,58.76,51.84
Hungary,2021-07-02,50-59,69.08,63.91
Hungary,2021-07-02,60-69,76.49,72.67
Hungary,2021-07-02,70-79,85.35,82.36
Hungary,2021-07-02,80+,74.42,71.56
Hungary,2021-07-09,18-24,46.83,40.4
Hungary,2021-07-09,25-49,59.09,53.76
Hungary,2021-07-09,50-59,69.35,65.51
Hungary,2021-07-09,60-69,76.66,73.61
Hungary,2021-07-09,70-79,85.46,82.96
Hungary,2021-07-09,80+,74.49,72.04
Hungary,2021-07-16,18-24,47.14,42.02
Hungary,2021-07-16,25-49,59.41,55.21
Hungary,2021-07-16,50-59,69.65,66.65
Hungary,2021-07-16,60-69,76.85,74.29
Hungary,2021-07-16,70-79,85.56,83.41
Hungary,2021-07-16,80+,74.59,72.37
Hungary,2021-07-23,18-24,47.4,43.0
Hungary,2021-07-23,25-49,59.7,56.04
Hungary,2021-07-23,50-59,69.95,67.3
Hungary,2021-07-23,60-69,77.03,74.69
Hungary,2021-07-23,70-79,85.67,83.67
Hungary,2021-07-23,80+,74.67,72.56
Hungary,2021-07-30,18-24,47.7,44.03
Hungary,2021-07-30,25-49,60.02,56.92
Hungary,2021-07-30,50-59,70.25,67.84
Hungary,2021-07-30,60-69,77.19,74.96
Hungary,2021-07-30,70-79,85.76,83.83
Hungary,2021-07-30,80+,74.75,72.67
Hungary,2021-08-06,18-24,47.97,44.39
Hungary,2021-08-06,25-49,60.29,57.27
Hungary,2021-08-06,50-59,70.5,68.14
Hungary,2021-08-06,60-69,77.33,75.15
Hungary,2021-08-06,70-79,85.85,83.95
Hungary,2021-08-06,80+,74.84,72.77
Hungary,2021-08-13,18-24,48.26,44.71
Hungary,2021-08-13,25-49,60.61,57.59
Hungary,2021-08-13,50-59,70.82,68.43
Hungary,2021-08-13,60-69,77.52,75.34
Hungary,2021-08-13,70-79,85.99,84.09
Hungary,2021-08-13,80+,75.0,72.91
Hungary,2021-08-20,18-24,48.46,44.92
Hungary,2021-08-20,25-49,60.85,57.82
Hungary,2021-08-20,50-59,71.07,68.65
Hungary,2021-08-20,60-69,77.69,75.48
Hungary,2021-08-20,70-79,86.11,84.21
Hungary,2021-08-20,80+,75.15,73.02
Hungary,2021-08-27,18-24,48.78,45.23
Hungary,2021-08-27,25-49,61.21,58.16
Hungary,2021-08-27,50-59,71.43,68.98
Hungary,2021-08-27,60-69,77.91,75.67
Hungary,2021-08-27,70-79,86.27,84.37
Hungary,2021-08-27,80+,75.34,73.17
Hungary,2021-09-03,18-24,49.17,45.5
Hungary,2021-09-03,25-49,61.51,58.45
Hungary,2021-09-03,50-59,71.73,69.26
Hungary,2021-09-03,60-69,78.12,75.87
Hungary,2021-09-03,70-79,86.44,84.55
Hungary,2021-09-03,80+,75.56,73.38
Hungary,2021-09-10,18-24,49.45,45.73
Hungary,2021-09-10,25-49,61.78,58.72
Hungary,2021-09-10,50-59,71.98,69.53
Hungary,2021-09-10,60-69,78.3,76.07
Hungary,2021-09-10,70-79,86.6,84.74
Hungary,2021-09-10,80+,75.76,73.59
Hungary,2021-09-17,18-24,49.68,45.98
Hungary,2021-09-17,25-49,62.01,58.99
Hungary,2021-09-17,50-59,72.21,69.81
Hungary,2021-09-17,60-69,78.47,76.27
Hungary,2021-09-17,70-79,86.74,84.93
Hungary,2021-09-17,80+,75.94,73.8
Hungary,2021-09-24,18-24,49.9,46.3
Hungary,2021-09-24,25-49,62.21,59.29
Hungary,2021-09-24,50-59,72.4,70.1
Hungary,2021-09-24,60-69,78.61,76.49
Hungary,2021-09-24,70-79,86.85,85.12
Hungary,2021-09-24,80+,76.07,74.06
Hungary,2021-10-01,18-24,50.13,46.62
Hungary,2021-10-01,25-49,62.41,59.56
Hungary,2021-10-01,50-59,72.58,70.38
Hungary,2021-10-01,60-69,78.74,76.69
Hungary,2021-10-01,70-79,86.96,85.29
Hungary,2021-10-01,80+,76.2,74.27
Hungary,2021-10-08,18-24,50.36,46.87
Hungary,2021-10-08,25-49,62.6,59.8
Hungary,2021-10-08,50-59,72.74,70.61
Hungary,2021-10-08,60-69,78.85,76.87
Hungary,2021-10-08,70-79,87.04,85.46
Hungary,2021-10-08,80+,76.31,74.47
Hungary,2021-10-15,18-24,50.57,47.12
Hungary,2021-10-15,25-49,62.77,60.01
Hungary,2021-10-15,50-59,72.91,70.82
Hungary,2021-10-15,60-69,78.95,77.03
Hungary,2021-10-15,70-79,87.13,85.59
Hungary,2021-10-15,80+,76.42,74.65
Hungary,2021-10-22,18-24,50.91,47.46
Hungary,2021-10-22,25-49,62.83,60.07
Hungary,2021-10-22,50-59,72.98,70.91
Hungary,2021-10-22,60-69,78.99,77.08
Hungary,2021-10-22,70-79,87.16,85.64
Hungary,2021-10-22,80+,76.43,74.66
Iceland,2021-01-08,18-24,0.31,0.0
Iceland,2021-01-08,25-49,0.85,0.0
Iceland,2021-01-08,50-59,0.82,0.0
Iceland,2021-01-08,60-69,1.29,0.0
Iceland,2021-01-08,70-79,2.52,0.0
Iceland,2021-01-08,80+,18.31,0.0
Iceland,2021-01-15,18-24,0.6,0.0
Iceland,2021-01-15,25-49,1.44,0.0
Iceland,2021-01-15,50-59,1.28,0.0
Iceland,2021-01-15,60-69,1.75,0.0
Iceland,2021-01-15,70-79,2.53,0.0
Iceland,2021-01-15,80+,18.31,0.0
Iceland,2021-01-22,18-24,0.77,0.26
Iceland,2021-01-22,25-49,1.99,0.82
Iceland,2021-01-22,50-59,2.0,0.82
Iceland,2021-01-22,60-69,2.86,1.27
Iceland,2021-01-22,70-79,5.83,2.28
Iceland,2021-01-22,80+,34.58,18.01
Iceland,2021-01-29,18-24,0.77,0.26
Iceland,2021-01-29,25-49,2.03,0.83
Iceland,2021-01-29,50-59,2.05,0.82
Iceland,2021-01-29,60-69,2.91,1.28
Iceland,2021-01-29,70-79,5.99,2.31
Iceland,2021-01-29,80+,35.46,18.14
Iceland,2021-02-05,18-24,0.83,0.26
Iceland,2021-02-05,25-49,2.4,0.83
Iceland,2021-02-05,50-59,2.49,0.83
Iceland,2021-02-05,60-69,3.26,1.29
Iceland,2021-02-05,70-79,6.58,2.33
Iceland,2021-02-05,80+,44.71,18.35
Iceland,2021-02-12,18-24,1.97,0.41
Iceland,2021-02-12,25-49,2.8,1.28
Iceland,2021-02-12,50-59,2.96,1.14
Iceland,2021-02-12,60-69,3.58,1.59
Iceland,2021-02-12,70-79,6.6,2.35
Iceland,2021-02-12,80+,44.71,18.35
Iceland,2021-02-19,18-24,2.88,0.64
Iceland,2021-02-19,25-49,3.82,1.99
Iceland,2021-02-19,50-59,4.21,2.05
Iceland,2021-02-19,60-69,5.36,2.93
Iceland,2021-02-19,70-79,6.95,5.7
Iceland,2021-02-19,80+,46.14,35.15
Iceland,2021-02-26,18-24,4.24,0.7
Iceland,2021-02-26,25-49,4.75,2.35
Iceland,2021-02-26,50-59,5.46,2.46
Iceland,2021-02-26,60-69,6.35,3.29
Iceland,2021-02-26,70-79,7.99,6.31
Iceland,2021-02-26,80+,54.32,44.38
Iceland,2021-03-05,18-24,5.46,0.7
Iceland,2021-03-05,25-49,6.06,2.36
Iceland,2021-03-05,50-59,6.93,2.48
Iceland,2021-03-05,60-69,7.48,3.3
Iceland,2021-03-05,70-79,8.37,6.33
Iceland,2021-03-05,80+,93.75,44.55
Iceland,2021-03-12,18-24,5.8,0.72
Iceland,2021-03-12,25-49,6.56,2.38
Iceland,2021-03-12,50-59,7.67,2.51
Iceland,2021-03-12,60-69,9.23,3.38
