location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Sao Tome and Principe,2021-03-15,Oxford/AstraZeneca,https://www.facebook.com/MSaudeSTeP/photos/pcb.3764121173707955/3764120233708049,0,0,0
Sao Tome and Principe,2021-03-22,Oxford/AstraZeneca,https://www.facebook.com/MSaudeSTeP/photos/pcb.3764121173707955/3764120233708049,3965,3965,0
Sao Tome and Principe,2021-03-29,Oxford/AstraZeneca,https://www.facebook.com/MSaudeSTeP/photos/pcb.3764121173707955/3764120233708049,9724,9724,0
Sao Tome and Principe,2021-05-18,Oxford/AstraZeneca,https://covid19.who.int/,12374,12374,0
Sao Tome and Principe,2021-05-26,Oxford/AstraZeneca,https://covid19.who.int/,14509,12374,2135
Sao Tome and Principe,2021-05-31,Oxford/AstraZeneca,https://covid19.who.int/,18888,12374,6514
Sao Tome and Principe,2021-06-08,Oxford/AstraZeneca,https://covid19.who.int/,23027,12374,10653
Sao Tome and Principe,2021-06-10,Oxford/AstraZeneca,https://covid19.who.int/,23644,12374,11270
Sao Tome and Principe,2021-06-14,Oxford/AstraZeneca,https://covid19.who.int/,23918,,
Sao Tome and Principe,2021-06-24,Oxford/AstraZeneca,https://covid19.who.int/,24908,,
Sao Tome and Principe,2021-06-28,Oxford/AstraZeneca,https://covid19.who.int/,27986,,
Sao Tome and Principe,2021-07-05,Oxford/AstraZeneca,https://covid19.who.int/,33996,,
Sao Tome and Principe,2021-07-12,Oxford/AstraZeneca,https://covid19.who.int/,37716,26184,11532
Sao Tome and Principe,2021-07-19,Oxford/AstraZeneca,https://covid19.who.int/,41436,29725,11711
Sao Tome and Principe,2021-07-24,Oxford/AstraZeneca,https://covid19.who.int/,43942,,
Sao Tome and Principe,2021-07-26,Oxford/AstraZeneca,https://covid19.who.int/,43960,32090,11870
Sao Tome and Principe,2021-08-03,Oxford/AstraZeneca,https://covid19.who.int/,43978,32107,11871
Sao Tome and Principe,2021-08-16,Oxford/AstraZeneca,https://covid19.who.int/,43987,32114,11873
Sao Tome and Principe,2021-09-01,Oxford/AstraZeneca,https://covid19.who.int/,46349,34468,11881
Sao Tome and Principe,2021-09-06,Oxford/AstraZeneca,https://covid19.who.int/,50886,38979,11907
Sao Tome and Principe,2021-09-10,Oxford/AstraZeneca,https://covid19.who.int/,57154,45088,12066
Sao Tome and Principe,2021-09-17,Oxford/AstraZeneca,https://covid19.who.int/,65542,51447,14095
Sao Tome and Principe,2021-09-21,Oxford/AstraZeneca,https://covid19.who.int/,73223,55036,18187
Sao Tome and Principe,2021-09-24,Oxford/AstraZeneca,https://covid19.who.int/,82679,60559,22120
Sao Tome and Principe,2021-10-02,Oxford/AstraZeneca,https://covid19.who.int/,94640,68443,26197
Sao Tome and Principe,2021-10-09,Oxford/AstraZeneca,https://covid19.who.int/,101065,73554,27511
