location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Timor,2021-04-14,Oxford/AstraZeneca,http://timor-leste.gov.tl/?p=27660&lang=en,2629,2629,0
Timor,2021-05-03,Oxford/AstraZeneca,https://covid19.who.int/,30599,30599,0
Timor,2021-05-17,Oxford/AstraZeneca,https://covid19.who.int/,47908,47908,0
Timor,2021-05-25,Oxford/AstraZeneca,https://covid19.who.int/,63753,63752,1
Timor,2021-06-01,Oxford/AstraZeneca,https://covid19.who.int/,81806,81800,6
Timor,2021-06-08,Oxford/AstraZeneca,https://covid19.who.int/,93169,93152,17
Timor,2021-06-15,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,110531,103813,6718
Timor,2021-06-22,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,189266,166148,23118
Timor,2021-06-29,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,228766,203009,25757
Timor,2021-07-06,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,244497,218164,26333
Timor,2021-07-13,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,281283,237927,43356
Timor,2021-07-19,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,312353,251899,60454
Timor,2021-07-27,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,363269,276510,86759
Timor,2021-08-03,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,402962,299754,103208
Timor,2021-08-10,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,443729,327855,115874
Timor,2021-08-17,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,491569,348548,143021
Timor,2021-08-24,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,556783,375372,181411
Timor,2021-08-31,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,588299,389989,198310
Timor,2021-09-07,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,615462,399214,216248
Timor,2021-09-14,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,643324,408918,234406
Timor,2021-09-20,"Oxford/AstraZeneca, Sinovac",https://www.who.int/southeastasia/health-topics/immunization/covid-19-vaccination,668010,420827,247183
Timor,2021-09-21,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,675891,424568,251323
Timor,2021-09-28,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,711879,441510,270369
Timor,2021-10-05,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,761656,468339,293317
Timor,2021-10-12,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,810855,495822,315033
Timor,2021-10-19,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,855619,520137,335482
Timor,2021-10-26,"Oxford/AstraZeneca, Sinovac",https://covid19.who.int/,896975,543053,353922
Timor,2021-11-09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,969619,587392,382227
Timor,2021-11-16,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1017255,616024,401231
Timor,2021-11-23,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1068010,636271,431739
Timor,2021-11-30,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1112223,646851,465372
Timor,2021-12-07,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1142003,652294,489709
Timor,2021-12-21,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1195990,662963,533027
Timor,2022-01-04,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1210070,665588,544482
Timor,2022-01-11,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",https://covid19.who.int/,1218471,667277,551194
