Country,Year,confirmed_cases,hospital_flow,icu_flow,confirmed_deaths
Israel,678,5.9,5.0,3.7,4.8
Israel,679,5.7,4.9,4.0,3.9
Israel,680,5.5,4.7,3.9,4.3
Israel,681,5.3,4.9,3.8,4.3
Israel,682,5.3,5.0,3.7,4.1
Israel,683,5.1,4.4,3.5,2.9
Israel,684,5.1,4.2,3.1,3.4
Israel,685,5.2,4.2,3.4,3.6
Israel,686,5.2,4.3,3.6,4.3
Israel,687,5.3,4.2,3.6,3.9
Israel,688,5.4,4.2,3.6,3.6
Israel,689,5.5,4.5,3.4,3.4
Israel,690,5.6,4.6,3.6,3.6
Israel,691,5.9,4.7,4.1,3.1
Israel,692,5.9,4.6,4.1,2.9
Israel,693,6.0,4.5,4.1,2.9
Israel,694,6.2,4.8,3.9,3.6
Israel,695,6.2,4.7,3.9,3.9
Israel,696,6.1,4.2,3.6,4.1
Israel,697,6.3,4.5,3.5,3.9
Israel,698,6.2,4.3,3.1,4.1
Israel,699,6.2,4.1,2.8,4.6
Israel,700,6.2,4.4,2.7,4.1
Israel,701,6.2,4.1,3.0,3.4
Israel,702,6.1,4.3,2.9,2.9
Israel,703,6.2,4.6,3.0,2.9
Israel,704,6.2,4.6,2.9,3.1
Israel,705,6.3,4.7,3.5,3.1
Israel,706,6.7,4.9,3.4,2.7
Israel,707,7.0,4.8,3.0,2.4
Israel,708,7.2,5.4,3.1,2.2
Israel,709,7.4,5.1,3.0,2.2
Israel,710,7.4,5.0,2.8,1.9
Israel,711,7.3,4.7,2.7,1.4
Israel,712,7.3,4.6,2.3,1.2
Israel,713,7.1,4.6,2.3,1.4
Israel,714,7.3,4.8,2.6,1.7
Israel,715,7.6,4.4,2.8,2.2
Israel,716,8.1,4.5,3.2,1.9
Israel,717,8.4,4.8,3.6,1.9
Israel,718,9.3,4.6,4.0,2.4
Israel,719,10.2,4.8,4.5,3.1
Israel,720,11.1,5.4,5.2,3.1
Israel,721,12.2,5.9,5.8,3.1
Israel,722,13.3,6.1,5.5,3.4
Israel,723,14.9,6.7,5.8,3.6
Israel,724,15.6,7.6,6.4,3.9
Israel,725,16.9,9.1,6.3,3.6
Israel,726,19.7,10.3,6.1,2.9
Israel,727,23.2,11.3,6.1,
Israel,728,27.8,12.1,6.7,
Israel,729,33.9,13.3,7.3,
Israel,730,40.2,15.4,7.9,
Israel,731,46.1,17.4,9.4,
Israel,732,54.4,20.8,10.9,
Israel,733,68.1,24.5,13.1,
Israel,734,84.2,28.2,14.9,
Israel,735,105.1,32.1,17.6,
Israel,736,125.7,37.7,,
Israel,737,148.8,44.1,,
Israel,738,171.9,,,
Israel,739,197.5,,,
