location,date,vaccine,total_vaccinations,source_url,people_vaccinated,people_fully_vaccinated,total_boosters
Yemen,2021-05-09,Oxford/AstraZeneca,18555,https://covid19.who.int/,18555,0,
Yemen,2021-05-29,Oxford/AstraZeneca,104070,https://covid19.who.int/,104070,0,
Yemen,2021-06-07,Oxford/AstraZeneca,196234,https://covid19.who.int/,196234,0,
Yemen,2021-06-10,Oxford/AstraZeneca,221380,https://covid19.who.int/,221380,0,
Yemen,2021-06-16,Oxford/AstraZeneca,235855,https://covid19.who.int/,235855,0,
Yemen,2021-06-20,Oxford/AstraZeneca,251385,https://covid19.who.int/,251385,0,
Yemen,2021-06-27,Oxford/AstraZeneca,268753,https://covid19.who.int/,268753,0,
Yemen,2021-07-12,Oxford/AstraZeneca,297405,https://covid19.who.int/,288828,8577,
Yemen,2021-07-27,Oxford/AstraZeneca,311483,https://covid19.who.int/,298161,13322,
Yemen,2021-09-12,"Johnson&Johnson, Oxford/AstraZeneca",322934,https://covid19.who.int/,308025,14909,
Yemen,2021-10-11,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",460159,https://covid19.who.int/,319710,143761,
Yemen,2021-10-28,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",534590,https://covid19.who.int/,327016,192413,
Yemen,2021-11-01,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",547019,https://covid19.who.int/,331778,215241,
Yemen,2021-11-14,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",746557,https://covid19.who.int/,527869,344333,
Yemen,2021-11-17,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",754397,https://covid19.who.int/,534259,349292,
Yemen,2021-11-21,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",759220,https://covid19.who.int/,537397,353822,
